"Label","X","Y","Z"
"NzHS",,,
"IzHS",,,
"ARHS",,,
"ALHS",,,
"Fp1HS",,,
"Fp2HS","115.600078125","-43.1000390625","-109.100078125"
"FzHS","172.10015625","-16.800009765625","-143.300078125"
"F3HS","149.600078125","29","-128.800078125"
"F4HS","153.100078125","-58.3000390625","-124.700078125"
"F7HS","144.100078125","56","-88.300078125"
"F8HS","142.900078125","-79.3000390625","-80.3000390625"
"CzHS","237","-18.5","-126.200078125"
"C3HS","219.80015625","43.2000390625","-110.100078125"
"C4HS","218.70015625","-75.8000390625","-101.600078125"
"T3HS","182.60015625","68.3000390625","-56.1000390625"
"T4HS","182.70015625","-91.400078125","-44.5"
"PzHS","273.40015625","-16.800009765625","-73.1000390625"
"P3HS","264.5","27.90001953125","-50.4000390625"
"P4HS","265.20015625","-56.7000390625","-42.8000390625"
"T5HS","225.5","53.1000390625","-29.90001953125"
"T6HS","224.70015625","-77.6000390625","-16.700009765625"
"O1HS",,,
"O2HS"
