"¦Ë1, Ch1","¦Ë2, Ch1","¦Ë1, Ch2","¦Ë2, Ch2","¦Ë1, Ch3","¦Ë2, Ch3","¦Ë1, Ch4","¦Ë2, Ch4","¦Ë1, Ch5","¦Ë2, Ch5","¦Ë1, Ch6","¦Ë2, Ch6","¦Ë1, Ch7","¦Ë2, Ch7","¦Ë1, Ch8","¦Ë2, Ch8","¦Ë1, Ch9","¦Ë2, Ch9","¦Ë1, Ch10","¦Ë2, Ch10","¦Ë1, Ch11","¦Ë2, Ch11","¦Ë1, Ch12","¦Ë2, Ch12","¦Ë1, Ch13","¦Ë2, Ch13","¦Ë1, Ch14","¦Ë2, Ch14","¦Ë1, Ch15","¦Ë2, Ch15","¦Ë1, Ch16","¦Ë2, Ch16","¦Ë1, Ch17","¦Ë2, Ch17","¦Ë1, Ch18","¦Ë2, Ch18","¦Ë1, Ch19","¦Ë2, Ch19","¦Ë1, Ch20","¦Ë2, Ch20","¦Ë1, Ch21","¦Ë2, Ch21","¦Ë1, Ch22","¦Ë2, Ch22","¦Ë1, Ch23","¦Ë2, Ch23","¦Ë1, Ch24","¦Ë2, Ch24"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0065,0.0187,0,0,0.0165,0.0057,0.0037,0.0142,0.0365,0.022,-0.0453,-0.027,0.0035,0.0195,0.0023,0.0008,-0.0185,-0.0165,0.037,-0.0235,0.0023,0.001,-0.0038,0.0025,-0.04,-0.0478,0.0465,-0.021,0.0027,0.0005,0.0035,-0.0005,0.0237,0.019,0.003,0.0015,0,0.0008,0.0048,-0.0053,0.002,0.0023,0.0023,0.0025,0.0013,-0.0013,0.0023,0.0025
0.0023,0.025,0.0352,-0.0245,0.076,0.0115,0.0002,0.0075,-0.0012,0.0205,-0.0188,-0.027,0.0145,0.0793,0.0015,0.0027,-0.008,-0.06,0.009,0.0248,-0.001,0,-0.0042,-0.0002,-0.0328,-0.053,0.0172,0,0.0017,0.0003,0.0045,-0.0015,0.001,-0.003,0.0027,0.0023,-0.0012,-0.002,0.0033,0.0002,0.0078,0.0035,0.0027,0.0037,-0.0045,-0.0057,-0.0005,0.0012
-0.033,0.0187,0.0057,0.0063,0.0107,0.042,0.001,-0.002,0.0023,0.019,-0.0278,-0.0322,0.0827,0.0528,-0.0008,0.0008,-0.0237,-0.045,0.0773,0.014,0.0005,-0.0005,-0.0003,-0.001,-0.0082,-0.0565,-0.0033,-0.0142,0.0017,0.0003,-0.0028,-0.0033,0.0195,0.057,0.0037,0.003,-0.0035,-0.0017,-0.0038,-0.0015,0.002,0.0032,0.003,0.0027,-0.0088,-0.0043,-0.0008,0.0022
0.01,0.0693,-0.0165,-0.0245,0.1022,0.0235,-0.0043,0.0032,0.0165,-0.0085,-0.0368,-0.011,0.07,0.0078,0.004,0.002,-0.016,-0.0688,0.05,0.051,-0.0002,-0.0008,-0.005,-0.0002,-0.0187,-0.0453,-0.0068,0.054,-0.0005,-0.0015,-0.01,-0.0025,0.001,0.0223,0.0017,0.001,-0.0057,-0.0052,-0.0053,-0.015,0.0065,0.0095,0.0013,0.002,-0.0157,-0.0128,-0.0023,-0.0025
-0.0017,0.0207,0.0293,-0.075,0.0697,0.0115,0.004,-0.0053,-0.0228,0.003,-0.0048,0.017,0.0533,0.0155,-0.001,0.0035,-0.039,-0.0068,0.06,0.079,-0.004,-0.0023,-0.0103,-0.0032,-0.009,-0.0343,-0.0068,-0.0245,-0.0018,-0.0045,-0.0005,-0.0013,0.0332,0.0312,0.0015,0,-0.01,-0.007,-0.0077,-0.002,-0.004,-0.0035,-0.0008,0.0002,-0.0197,-0.0168,-0.0057,-0.0023
-0.0065,0,-0.0273,-0.0477,0.0393,0.042,-0.0093,-0.0003,-0.0092,0.0518,-0.0095,-0.0375,0.0492,0.0195,-0.0018,-0.0012,-0.061,-0.0328,0.0738,0.0282,-0.0055,-0.005,-0.0092,-0.0057,-0.0447,-0.0918,0.028,0.0665,-0.006,-0.0055,-0.003,-0.0058,0.001,-0.0088,-0.0023,-0.0015,-0.014,-0.0107,-0.0088,-0.0267,-0.0008,-0.0098,-0.0032,-0.002,-0.0255,-0.0205,-0.0072,-0.0045
0.0023,0.0187,-0.0273,-0.0125,0.0107,-0.0057,-0.0018,-0.002,-0.0012,0.047,0.0047,-0.0322,0.022,0.0078,-0.0068,-0.004,-0.0053,-0.051,0.0403,-0.0235,-0.0082,-0.0065,-0.0112,-0.0082,-0.021,-0.024,0.0245,0.03,-0.0083,-0.0082,-0.0025,-0.008,-0.0375,0,-0.0055,-0.0042,-0.0157,-0.0128,-0.019,-0.0225,-0.0032,-0.0025,-0.0048,-0.0043,-0.0335,-0.0293,-0.012,-0.0053
-0.033,0.037,0.0477,-0.0477,0.0165,0.0483,-0.008,-0.003,-0.0423,0.047,-0.0323,-0.0525,0.0615,0.0613,-0.01,-0.0027,-0.0212,-0.0133,0.067,0.0395,-0.0102,-0.0057,-0.0122,-0.0103,-0.0215,-0.0522,-0.0263,0.0263,-0.008,-0.0072,-0.0025,-0.0083,-0.0168,0.0535,-0.0045,-0.0042,-0.0137,-0.0103,-0.0132,-0.014,-0.004,-0.0043,-0.0053,-0.0043,-0.0235,-0.0175,-0.0128,-0.0063
0.01,0.0155,0.0057,-0.0062,0.0165,0.0295,-0.0053,0.0053,-0.0057,0.0268,-0.0453,-0.0525,0.0145,-0.033,0.0005,0.0023,-0.039,-0.051,0.0845,0.0432,0.0003,-0.0003,-0.007,-0.0002,-0.025,-0.0505,0.007,0.0263,0.0015,-0.0008,-0.0025,0.0007,0.0442,-0.0115,0.001,0.001,-0.0002,0,-0.0005,0.0008,0.001,0.007,0.003,0.0035,-0.0032,0.0005,-0.0017,-0.0003
-0.0017,0.0135,0.054,-0.0477,0.1233,-0.033,0.0005,0.005,0.0278,0.0238,-0.0143,-0.0057,0.0375,0.004,0.0015,0.001,-0.0185,-0.0358,0.081,-0.007,0.0038,0.0012,-0.005,-0.0015,-0.003,-0.0453,0.021,0.011,0.0017,-0.0005,-0.0013,-0.0093,0.0248,0.016,0.0042,0.003,0.0018,-0.0012,-0.0057,-0.0098,0.0095,0.004,0.0067,0.0062,-0.0032,-0.0028,0.0005,0.0032
0.0485,0.0495,0,-0.042,0.0697,0.0235,0.001,0.006,-0.0092,0.0312,0.0195,0.017,0.0257,0.0235,0,0.0055,-0.0133,-0.0263,0.037,0.079,-0.0005,0.0017,-0.0055,-0.0032,0.003,-0.0558,0.021,0.0148,0.0015,-0.0002,0.0032,0.0037,0.0345,-0.0347,0.0052,0.0032,-0.0025,-0.0025,-0.0045,-0.0025,0.0025,-0.002,0.0075,0.007,-0.004,-0.0008,0,0.0025
0.021,0.0328,0.0232,-0.0125,0.022,0.0483,0.0037,-0.0035,-0.0183,0.039,0.0195,-0.027,0.0297,-0.0075,0.0002,0.0027,-0.0537,0.007,0,0,-0.0005,0.0032,-0.007,-0.002,-0.0077,-0.0155,0.0352,0.058,0,-0.0002,0.0075,-0.0003,0.0355,-0.003,0.0057,0.0048,-0.003,-0.0027,-0.0032,-0.0088,0.0063,0.0082,0.0067,0.0065,-0.0057,-0.0035,-0.0027,0.0005
0.003,0.0083,0.0057,-0.0533,0.0572,0.0115,0.0037,-0.003,0.013,-0.0057,-0.041,-0.027,-0.021,0.0078,0.0057,0.0012,-0.0365,0.021,0.05,0.014,0.0005,-0.0013,-0.0092,-0.0025,-0.0182,-0.0548,0.0172,0.0148,-0.0013,-0.0022,0.0025,-0.0063,0.002,0.0103,0.0048,0.0032,-0.0065,-0.0065,-0.0065,-0.0122,-0.0085,-0.0115,0.0057,0.0057,-0.0122,-0.0128,-0.0025,-0.002
-0.0035,0.025,-0.048,-0.0125,0.0697,0.0295,-0.002,0.0042,-0.0047,0.0043,-0.0188,-0.027,0.0107,0.0275,0.0002,0.0018,-0.061,-0.039,0.0305,0.051,-0.0025,-0.0032,-0.0088,-0.0052,-0.0267,-0.0695,0.039,0.034,-0.0038,-0.0045,-0.0048,-0.0048,0.0215,0.019,0.0023,0.0017,-0.01,-0.0095,-0.0177,-0.017,0.001,-0.009,0.0035,0.0027,-0.0222,-0.0165,-0.0055,0.0007
